FiscalYear,AviationLperATM,AvailableTonMiles,AviationLitres,HDVLperMile,HDVMiles,HDVLitres
2023,0.192027,24886538316,4778885873,0.303517,1016301616,308464775
2024,0.18765,24330569515,4565624482,0.29899,942121122,281685013
